,CAD Event Number,Event Clearance Description,Call Type,Priority,Initial Call Type,Final Call Type,Original Time Queued,Arrived Time,Precinct,Sector,Beat
289122,2015000372380,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",6,SECONDARY - THEFT (NOT SHOPLIFT OR SERVICES),--THEFT - CAR PROWL,10/24/2015 10:11:25 AM,10/24/2015 05:58:29 PM,NORTH,BOY,B3
3033730,2018000356646,PROBLEM SOLVING PROJECT,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--MISCHIEF OR NUISANCE - GENERAL,09/24/2018 07:44:32 AM,09/24/2018 07:44:32 AM,WEST,KING,K2
1937842,2012000371184,PROBLEM SOLVING PROJECT,ONVIEW,7,DIRECTED PATROL ACTIVITY,--DIRECTED PATROL ACTIVITY,10/29/2012 03:48:06 PM,10/29/2012 03:48:06 PM,EAST,GEORGE,G3
1823319,2016000152365,REPORT WRITTEN (NO ARREST),911,1,SERVICE - WELFARE CHECK,--CRISIS COMPLAINT - GENERAL,05/02/2016 07:03:07 PM,05/02/2016 07:14:34 PM,NORTH,JOHN,J2
1243883,2020000269931,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - MVC - HIT AND RUN,--TRAFFIC - MV COLLISION INVESTIGATION,09/17/2020 07:12:01 PM,09/17/2020 07:37:42 PM,WEST,MARY,M3
886809,2017000319932,REPORT WRITTEN (NO ARREST),ONVIEW,3,PROPERTY - DAMAGE,--PROPERTY DEST (DAMG),08/29/2017 10:10:43 AM,08/29/2017 10:10:43 AM,NORTH,NORA,N1
2610747,2011000138595,ORAL WARNING GIVEN,ONVIEW,3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),05/01/2011 05:42:47 PM,05/01/2011 05:42:47 PM,SOUTHWEST,WILLIAM,W1
1375975,2017000197448,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,06/02/2017 09:26:27 PM,06/02/2017 09:26:28 PM,SOUTHWEST,WILLIAM,W1
1079023,2021000069451,"INCIDENT LOCATED, PUBLIC ORDER RESTORED",911,2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),--CRISIS COMPLAINT - GENERAL,03/22/2021 08:42:00 AM,03/22/2021 08:46:05 AM,SOUTHWEST,FRANK,F3
4411454,2016000243100,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),--HAZARDS - HAZARDS,07/07/2016 01:38:00 PM,07/07/2016 03:51:17 PM,NORTH,BOY,B1
3672576,2019000431381,REPORT WRITTEN (NO ARREST),911,1,SHOTS - IP/JO - INCLUDES HEARD/NO ASSAULT,"--WEAPON, PERSON WITH - GUN",11/20/2019 12:12:16 AM,11/20/2019 12:18:32 AM,SOUTH,SAM,S3
4515821,2014000395528,REPORT WRITTEN (NO ARREST),911,2,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",--DISTURBANCE - OTHER,11/26/2014 06:56:22 PM,11/26/2014 07:52:46 PM,NORTH,JOHN,J1
2597524,2013000194544,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",2,SEX IN PUBLIC PLACE/VIEW (INCL MASTURBATION),--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,06/06/2013 05:28:55 PM,06/06/2013 07:29:05 PM,EAST,CHARLIE,C2
3321199,2013000235032,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,"FRAUD - FORGERY,BUNCO, SCAMS, ID THEFT, ETC","--FRAUD - FRAUD, INCLUDING BUNCO",07/04/2013 03:00:58 PM,07/04/2013 03:18:06 PM,NORTH,UNION,U3
3465193,2012000142225,FALSE COMPLAINT/UNFOUNDED,911,3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","--ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",05/09/2012 02:43:33 AM,01/01/1900 12:00:00 AM,NORTH,BOY,B1
4980021,2014000308344,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,09/15/2014 01:17:34 AM,09/15/2014 03:56:51 AM,NORTH,JOHN,J3
3348933,2019000310814,ASSISTANCE RENDERED,911,3,"DISTURBANCE, MISCELLANEOUS/OTHER",--DISTURBANCE - OTHER,08/21/2019 09:56:03 AM,08/21/2019 12:01:38 PM,EAST,CHARLIE,C3
2544664,2009000443642,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",--SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,12/27/2009 10:20:20 PM,12/27/2009 10:35:43 PM,WEST,DAVID,D1
279618,2017000059647,PHYSICAL ARREST MADE,ONVIEW,2,WARRANT - FELONY PICKUP,--NARCOTICS - OTHER,02/17/2017 09:02:14 PM,02/17/2017 09:02:14 PM,WEST,MARY,M2
4569628,2011000407890,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,12/21/2011 04:11:55 PM,12/21/2011 04:11:55 PM,WEST,KING,K3
4740680,2016000420580,ORAL WARNING GIVEN,ONVIEW,3,NUISANCE - MISCHIEF,--MISCHIEF OR NUISANCE - GENERAL,11/21/2016 10:26:43 AM,11/21/2016 10:26:43 AM,WEST,MARY,M2
1861970,2019000347402,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - REQUEST TO WATCH,09/17/2019 01:04:40 AM,09/17/2019 01:04:40 AM,EAST,GEORGE,G3
3096476,2019000410998,REPORT WRITTEN (NO ARREST),911,2,BURG - RES (INCL UNOCC STRUCTURES ON PROP),"--BURGLARY - RESIDENTIAL, UNOCCUPIED",11/04/2019 12:17:56 PM,11/04/2019 12:30:49 PM,WEST,QUEEN,Q2
2816456,2017000081656,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - BUSINESS CHECK,03/07/2017 01:07:40 PM,03/07/2017 01:07:40 PM,SOUTH,OCEAN,O1
3003126,2011000252845,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,"NOISE - DISTURBANCE (PARTY, ETC)",--DISTURBANCE - NOISE,08/03/2011 05:14:49 PM,08/03/2011 05:36:53 PM,NORTH,UNION,U2
4283322,2016000203500,REPORT WRITTEN (NO ARREST),911,3,SHOPLIFT - THEFT,--THEFT - SHOPLIFT,06/08/2016 03:49:16 PM,06/08/2016 04:46:45 PM,NORTH,LINCOLN,L1
3216787,2014000389145,REPORT WRITTEN (NO ARREST),911,2,PROPERTY - DAMAGE,--PROPERTY DEST (DAMG),11/21/2014 12:39:29 AM,11/21/2014 12:42:08 AM,SOUTHWEST,FRANK,F1
1984858,2014000271175,ASSISTANCE RENDERED,911,1,ARSON - IP/JO,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,08/15/2014 08:37:26 PM,08/15/2014 08:40:05 PM,WEST,MARY,M1
1498096,2018000153972,STREET CHECK WRITTEN,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,05/01/2018 03:51:52 PM,05/01/2018 03:51:52 PM,WEST,MARY,M3
1004024,2010000297636,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,SERVICE - WELFARE CHECK,--PERSON - FOUND PERSON,08/25/2010 07:15:22 PM,08/25/2010 08:01:52 PM,SOUTHWEST,FRANK,F1
68674,2018000188354,FOLLOW-UP REPORT MADE,"TELEPHONE OTHER, NOT 911",3,FOLLOW UP,--PROPERTY DEST (DAMG),05/25/2018 01:45:55 PM,05/25/2018 02:08:05 PM,NORTH,BOY,B3
2936193,2020000324180,REPORT WRITTEN (NO ARREST),911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,11/20/2020 01:29:44 AM,11/20/2020 01:35:35 AM,WEST,MARY,M1
1841714,2010000234400,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",4,FIREWORKS - NUISANCE (NO HAZARD),--DISTURBANCE - NOISE,07/08/2010 09:42:17 PM,07/08/2010 10:16:48 PM,SOUTH,ROBERT,R3
4020059,2015000257555,NO POLICE ACTION POSSIBLE OR NECESSARY,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),07/27/2015 07:24:03 AM,01/01/1900 12:00:00 AM,EAST,GEORGE,G1
930430,2014000230794,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - MVC - HIT AND RUN,--TRAFFIC - MV COLLISION INVESTIGATION,07/15/2014 09:20:55 AM,07/15/2014 09:21:54 AM,EAST,EDWARD,E1
904171,2020000312909,ASSISTANCE RENDERED,911,1,DOWN - CHECK FOR PERSON DOWN,--TRAFFIC - ASSIST MOTORIST,11/05/2020 11:25:50 PM,11/05/2020 11:36:34 PM,EAST,EDWARD,E1
44917,2013000247790,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,07/13/2013 03:44:26 AM,07/13/2013 03:44:26 AM,NORTH,NORA,N3
3281009,2020000126492,ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,--DIRECTED PATROL ACTIVITY,04/15/2020 03:14:33 PM,04/15/2020 03:14:33 PM,SOUTHWEST,FRANK,F2
4830974,2021000285088,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,10/27/2021 09:23:54 AM,10/27/2021 09:23:54 AM,SOUTH,OCEAN,O2
2790536,2013000063586,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,UNKNOWN - ANI/ALI - LANDLINE (INCLUDES OPEN LINE),--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,02/24/2013 09:12:47 AM,02/24/2013 09:21:01 AM,NORTH,BOY,B3
4013989,2009000350516,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,"DISTURBANCE, MISCELLANEOUS/OTHER",--MISCHIEF OR NUISANCE - GENERAL,10/04/2009 11:28:46 AM,01/01/1900 12:00:00 AM,SOUTH,SAM,S1
112387,2010000364890,Evidence Submitted (new incident number required),ONVIEW,3,FOLLOW UP,"--FRAUD - FRAUD, INCLUDING BUNCO",10/18/2010 07:13:47 PM,10/18/2010 07:13:47 PM,SOUTH,SAM,S1
1889145,2014000006473,PROBLEM SOLVING PROJECT,ONVIEW,7,PREDICTIVE POLICING,--PREDICTIVE POLICING PATROL,01/07/2014 04:57:49 AM,01/07/2014 04:57:49 AM,SOUTH,SAM,S3
1052259,2014000015715,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,FOLLOW UP,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),01/15/2014 09:49:00 AM,01/15/2014 10:12:03 AM,NORTH,LINCOLN,L1
742112,2011000006460,RADIO BROADCAST AND CLEAR,911,3,"ANIMAL - INJURED, DEAD HAZARD, OTHER",BROADCAST AND CLEAR BY RADIO,01/06/2011 08:44:05 AM,01/01/1900 12:00:00 AM,SOUTH,OCEAN,O3
325350,2019000361204,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,MISSING - ADULT,--PERSON - MISSING PERSON,09/27/2019 09:50:34 AM,09/27/2019 01:10:45 PM,NORTH,BOY,B1
4960184,2021000084493,REPORT WRITTEN (NO ARREST),911,3,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,--CRISIS COMPLAINT - GENERAL,04/08/2021 06:43:34 AM,04/08/2021 06:57:31 AM,NORTH,BOY,B1
1182032,2009000355365,ASSISTANCE RENDERED,911,3,"DISTURBANCE, MISCELLANEOUS/OTHER",--DISTURBANCE - OTHER,10/08/2009 12:10:16 PM,10/08/2009 12:30:18 PM,WEST,KING,K1
893704,2014000018402,ASSISTANCE RENDERED,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--ASSIST OTHER AGENCY - COUNTY AGENCY,01/17/2014 05:12:49 PM,01/17/2014 05:12:49 PM,WEST,QUEEN,Q3
626393,2010000321938,ORAL WARNING GIVEN,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--PROWLER - TRESPASS,09/14/2010 04:57:31 AM,09/14/2010 04:57:31 AM,EAST,EDWARD,E3
4903292,2011000030774,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,ROBBERY (INCLUDES STRONG ARM),--ROBBERY - ARMED,01/26/2011 01:59:53 PM,01/26/2011 02:15:29 PM,SOUTH,SAM,S1
2445552,2018000063914,-,911,3,"DISTURBANCE, MISCELLANEOUS/OTHER","DISTURBANCE, MISCELLANEOUS/OTHER",02/20/2018 07:11:51 PM,02/20/2018 08:16:01 PM,EAST,GEORGE,G2
3815615,2010000446797,FOLLOW-UP REPORT MADE,ONVIEW,3,FOLLOW UP,--NARCOTICS - OTHER,12/30/2010 09:19:40 AM,12/30/2010 09:19:40 AM,WEST,DAVID,D1
3154084,2014000027224,NO POLICE ACTION POSSIBLE OR NECESSARY,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--WARRANT SERVICES - FELONY,01/25/2014 01:18:15 PM,01/25/2014 01:18:15 PM,NORTH,BOY,B1
3038768,2010000430428,ORAL WARNING GIVEN,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,12/14/2010 07:42:28 PM,12/14/2010 07:42:28 PM,NORTH,LINCOLN,L3
556987,2014000332499,FOLLOW-UP REPORT MADE,"TELEPHONE OTHER, NOT 911",3,FOLLOW UP,--BURGLARY - RESIDENTIAL OCCUPIED,10/04/2014 06:26:33 PM,10/04/2014 09:30:00 PM,NORTH,NORA,N1
2339224,2012000213158,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,"WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",--DISTURBANCE - OTHER,07/05/2012 06:29:57 AM,07/05/2012 06:35:33 AM,WEST,KING,K3
463521,2019000230111,ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,--PREMISE CHECKS - CRIME PREVENTION,06/24/2019 07:44:44 AM,06/24/2019 07:44:44 AM,WEST,KING,K2
2265594,2016000360545,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),--DISTURBANCE - FIGHT,10/04/2016 11:36:30 PM,10/04/2016 11:36:54 PM,WEST,KING,K3
492915,2011000368269,REPORT WRITTEN (NO ARREST),911,2,ASSIST OTHER AGENCY - ROUTINE SERVICE,--ASSIST OTHER AGENCY - COUNTY AGENCY,11/12/2011 08:55:28 PM,11/12/2011 09:08:41 PM,SOUTH,SAM,S3
2646421,2018000240626,ASSISTANCE RENDERED,911,2,TRESPASS,--PROWLER - TRESPASS,07/01/2018 03:52:48 PM,07/01/2018 03:59:49 PM,NORTH,LINCOLN,L3
2664379,2011000117258,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--NARCOTICS - OTHER,04/12/2011 09:45:09 PM,04/12/2011 09:45:09 PM,WEST,KING,K3
4393685,2020000118984,ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,--DIRECTED PATROL ACTIVITY,04/09/2020 05:18:03 AM,04/09/2020 05:18:03 AM,EAST,EDWARD,E3
4547744,2019000438377,ASSISTANCE RENDERED,911,1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,--ASSIST OTHER AGENCY - CITY AGENCY,11/25/2019 12:15:08 PM,11/25/2019 12:19:23 PM,SOUTH,ROBERT,R1
700205,2018000005475,ASSISTANCE RENDERED,911,2,SHOPLIFT - THEFT,--THEFT - SHOPLIFT,01/05/2018 11:17:48 AM,01/05/2018 12:11:03 PM,WEST,KING,K3
4754843,2021000124013,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,05/20/2021 08:52:24 PM,05/20/2021 09:05:09 PM,EAST,GEORGE,G1
3586163,2020000155230,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--MISCHIEF OR NUISANCE - GENERAL,05/11/2020 07:43:27 AM,05/11/2020 07:57:22 AM,NORTH,JOHN,J3
2124968,2010000307052,DUPLICATED OR CANCELLED BY RADIO,"TELEPHONE OTHER, NOT 911",3,ORDER - VIOLATION OF COURT ORDER (NON DV),ORDER - VIOLATION OF COURT ORDER (NON DV),09/02/2010 08:45:13 AM,09/02/2010 08:46:13 AM,WEST,DAVID,D2
2799525,2022000238355,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),911,3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),09/07/2022 08:06:32 AM,01/01/1900 12:00:00 AM,EAST,EDWARD,E1
2506959,2019000251074,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,07/09/2019 03:13:24 PM,07/09/2019 03:13:25 PM,WEST,MARY,M1
1057578,2013000368609,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,NARCOTICS - FOUND,"--NARCOTICS - FOUND , RECOVERED NARCOTICS",10/10/2013 04:12:59 PM,10/10/2013 04:46:19 PM,NORTH,NORA,N3
3611442,2015000048958,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",2,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"--ASSAULTS - HARASSMENT, THREATS",02/12/2015 09:46:53 AM,02/12/2015 10:13:53 AM,WEST,KING,K2
898849,2019000295191,REPORT WRITTEN (NO ARREST),ONVIEW,4,PROPERTY - FOUND,--PROPERTY - FOUND PROPERTY,08/09/2019 04:42:44 PM,08/09/2019 04:42:44 PM,SOUTHWEST,FRANK,F2
2775576,2010000190410,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,06/07/2010 12:25:51 AM,06/07/2010 12:25:51 AM,EAST,CHARLIE,C1
1205044,2015000199600,ASSISTANCE RENDERED,911,2,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",--NARCOTICS - OTHER,06/14/2015 01:59:51 PM,06/14/2015 03:01:06 PM,WEST,KING,K3
3073082,2012000438080,OTHER REPORT MADE,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,12/24/2012 08:14:59 AM,12/24/2012 08:14:59 AM,SOUTH,ROBERT,R1
1542950,2020000280359,FALSE COMPLAINT/UNFOUNDED,"TELEPHONE OTHER, NOT 911",2,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","--ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",09/30/2020 06:12:31 AM,09/30/2020 06:20:29 AM,NORTH,LINCOLN,L3
1845571,2020000093486,NO POLICE ACTION POSSIBLE OR NECESSARY,911,4,"NOISE - DIST, GENERAL (CONST, RESID, BALL PLAY)",--DISTURBANCE - NOISE,03/15/2020 02:14:43 AM,03/15/2020 02:37:04 AM,NORTH,BOY,B1
653299,2018000321995,ASSISTANCE RENDERED,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,08/29/2018 08:43:09 AM,08/29/2018 08:43:09 AM,WEST,MARY,M1
1805026,2011000371496,"INCIDENT LOCATED, PUBLIC ORDER RESTORED",ONVIEW,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,11/16/2011 01:15:58 AM,11/16/2011 01:15:58 AM,NORTH,JOHN,J3
4783542,2017000337910,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",--ALARM-RESIDENTIAL BURG,09/11/2017 08:46:18 AM,09/11/2017 08:51:43 AM,NORTH,BOY,B3
1125128,2018000401852,ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,--PREMISE CHECKS - CRIME PREVENTION,10/27/2018 12:50:14 AM,10/27/2018 12:50:14 AM,SOUTHWEST,FRANK,F3
4556586,2013000417941,REPORT WRITTEN (NO ARREST),911,1,OVERDOSE - DRUG RELATED CASUALTY,--CRISIS COMPLAINT - GENERAL,11/18/2013 04:55:05 PM,11/18/2013 07:01:48 PM,WEST,QUEEN,Q2
1784811,2022000116729,ORAL WARNING GIVEN,ONVIEW,2,TRESPASS,--PROWLER - TRESPASS,05/09/2022 07:02:05 PM,05/09/2022 07:02:05 PM,WEST,MARY,M3
1580126,2012000036165,FOLLOW-UP REPORT MADE,"TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--CRISIS COMPLAINT - GENERAL,02/06/2012 02:45:39 AM,02/06/2012 02:47:16 AM,NORTH,LINCOLN,L3
4346601,2016000150115,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,SUSPICIOUS PACKAGE,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,04/30/2016 10:08:39 PM,04/30/2016 10:16:40 PM,WEST,KING,K1
4554064,2011000362836,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,11/07/2011 05:43:30 PM,11/07/2011 06:07:08 PM,SOUTH,SAM,S3
629659,2021000211865,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - ROBBERY,--ROBBERY - STRONG ARM,08/15/2021 12:58:54 PM,08/15/2021 05:33:58 PM,WEST,QUEEN,Q2
1704665,2022000022732,ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,01/27/2022 06:04:03 PM,01/27/2022 06:10:43 PM,SOUTHWEST,FRANK,F3
1112515,2020000314108,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,11/07/2020 11:39:12 AM,11/07/2020 11:39:12 AM,SOUTHWEST,FRANK,F1
1899833,2015000400368,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",2,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",--NARCOTICS - OTHER,11/16/2015 12:47:39 PM,11/16/2015 02:49:26 PM,EAST,EDWARD,E3
3588161,2012000354870,ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,--DIRECTED PATROL ACTIVITY,10/16/2012 04:09:34 PM,10/16/2012 04:09:34 PM,WEST,MARY,M2
1954699,2015000313685,REPORT WRITTEN (NO ARREST),911,2,"MVC - HIT AND RUN (NON INJURY), INCLUDES IP/JO",--TRAFFIC - MV COLLISION INVESTIGATION,09/07/2015 12:42:07 PM,09/07/2015 12:57:58 PM,NORTH,JOHN,J1
4063151,2019000391450,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),10/20/2019 03:54:57 PM,10/20/2019 06:37:51 PM,EAST,CHARLIE,C1
4701777,2015000315264,RESPONDING UNIT(S) CANCELLED BY RADIO,911,1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,--ASSIST OTHER AGENCY - STATE AGENCY,09/08/2015 06:31:32 PM,01/01/1900 12:00:00 AM,NORTH,NORA,N1
